rnbqk2r/pp2bppp/4pn2/8/2Pp4/5NP1/PPQP1PBP/RNB1K2R w KQkq - 0 8	d2d3	-25	30
rnbqk2r/ppp1bppp/4pn2/3p4/2P5/1P3NP1/P2PPPBP/RNBQK2R b KQkq - 0 5	d5d4	-6	30
rnbq1rk1/pp2bppp/4pn2/2ppN3/2P5/3P2P1/PP2PPBP/RNBQ1RK1 b - - 0 7	a7a6	5	30
rnbqk2r/ppp1bppp/4pn2/3p4/2P5/P4NP1/1P1PPPBP/RNBQK2R b KQkq - 0 5	e8g8	11	30
rnbq1rk1/ppp1bppp/4pn2/3p4/2P5/N4NP1/PP1PPPBP/R1BQK2R w KQ - 5 6	e1g1	-5	30
rnbq1rk1/pp2bppp/4pn2/2pp4/2PP4/N4NP1/PP2PPBP/R1BQK2R w KQ - 0 7	e1g1	0	30
rnbqk2r/ppp1bppp/4pn2/8/2Pp4/1P3NP1/P2PPPBP/RNBQ1RK1 b kq - 1 6	c7c5	3	30
r1bqk2r/pp2bppp/2n1pn2/2p5/2Pp4/1P1P1NP1/P3PPBP/RNBQ1RK1 w kq - 1 8	e2e3	-10	30
rnbq1rk1/ppp1bppp/4pn2/3p4/2P5/3P1NP1/PP2PPBP/RNBQ1RK1 b - - 2 6	c7c5	0	30
rnbq1rk1/ppp1bppp/4pn2/3p4/2P5/P4NP1/1P1PPPBP/RNBQK2R w KQ - 1 6	d2d4	-8	30
rnbqk2r/ppp1bppp/4pn2/3pN3/2P5/6P1/PP1PPPBP/RNBQK2R b KQkq - 4 5	c7c5	5	30
rnbq1rk1/ppp1bppp/4pn2/3p4/2PP4/N4NP1/PP2PPBP/R1BQK2R b KQ - 0 6	c7c5	3	30
r1bq1rk1/ppp1bppp/2n1pn2/3p4/2P5/1P1P1NP1/P3PPBP/RNBQ1RK1 b - - 0 7	d5d4	0	30
r2qk2r/2p1bppp/p1np1n2/1p2p3/4P3/1BN2Q1P/PPPP1PP1/R1B1R1K1 b kq - 0 10	c6d4	6	30
r1bq1rk1/2p1bppp/p1np1n2/1p2p3/4P3/PB1P1N2/1PP2PPP/RNBQR1K1 b - - 0 9	c6a5	4	30
r2qk2r/2pbbppp/p1np1n2/1p2p3/P3P3/1BP2N2/1P1P1PPP/RNBQR1K1 b kq - 0 9	e8g8	-16	30
r1bq1rk1/2p1bppp/p2p1n2/np2p3/4P3/1BNP1N1P/PPP2PP1/R1BQR1K1 b - - 0 10	f8e8	21	30
r1bq1rk1/2p1bppp/p2p1n2/np2p3/4P3/1B1P1N1P/PPP2PP1/RNBQR1K1 w - - 1 10	b1c3	-8	30
r1bqk2r/2p1bppp/p1np1n2/1p2p3/4P3/1B1P1N2/PPP2PPP/RNBQR1K1 b kq - 0 8	c6a5	12	30
r2q1rk1/2pbbppp/p1np1n2/1p2p3/P2PP3/1BP2N2/1P3PPP/RNBQR1K1 b - - 0 10	h7h6	-14	30
r2q1rk1/1bp1bppp/p2p1n2/np2p3/4P3/1BNP1N1P/PPP2PP1/R1BQR1K1 w - - 1 11	c3e2	-20	30
r1bqk2r/2p1bppp/p1np1n2/1p2p3/4P3/1BN2N2/PPPP1PPP/R1BQR1K1 b kq - 1 8	c8g4	1	30
r1bqr1k1/2p1bppp/p2p1n2/np2p3/4P3/1B1P1N1P/PPPN1PP1/R1BQR1K1 w - - 3 11	d2f1	-21	30
r1bqk2r/2p1bppp/p1np1n2/1p2p3/4P3/1B3N2/PPPPQPPP/RNB1R1K1 b kq - 1 8	c6a5	13	30
