r1b1kb1r/pp2pppp/1qn2n2/3p4/3P1B2/2PB4/PP3PPP/RN1QK1NR w KQkq - 3 7	d1b3	29	22
r1bqk1nr/pp1p1ppp/1bn1p3/8/4P3/PNN5/1PP2PPP/R1BQKB1R b KQkq - 4 7	g8e7	-26	22
r1bqk2r/pp3ppp/2nbpn2/2pp4/3P1B2/P1P1P3/1P1N1PPP/R2QKBNR w KQkq - 1 7	f4d6	-10	22
r1bq1rk1/ppp1npbp/3p1np1/P2Pp3/4P3/2N2N2/1PP1BPPP/R1BQK2R w KQ - 1 9	c1g5	24	22
rnbq1rk1/pp2bppp/2p1pn2/3p4/2PP4/2N2NP1/PP2PPBP/R1BQ1RK1 b - - 1 7	a7a5	-34	22
r1bq1rk1/p2n1ppp/1ppbpn2/3p4/2PP4/1PN1PN2/P3BPPP/R1BQ1RK1 w - - 0 9	c1b2	9	22
r1bqk2r/1p2ppbp/p1np1np1/2p5/P3P3/2NPBNP1/1PP2PBP/R2QK2R b KQkq - 1 8	a8b8	17	22
r1bqk2r/pp2ppbp/2np1np1/2p5/4P3/2NPB1P1/PPP2PBP/R2QK1NR w KQkq - 2 7	h2h3	-10	22
1rbqkb1r/5ppp/p1np1n2/1p2p1B1/4P3/N1N5/PPP2PPP/R2QKB1R w KQk - 0 10	c3d5	-13	22
r1bqkb1r/5ppp/p1np1n2/1p2p3/4P3/N1N2P2/PPP3PP/R1BQKB1R w KQkq - 0 9	c3d5	-30	22
rn1qkbnr/pp2pppp/2p3b1/8/3P4/4B1N1/PPP2PPP/R2QKBNR b KQkq - 4 6	e7e6	-22	22
rn1qkbnr/pp2pppp/2p3b1/8/3P3P/6N1/PPP2PP1/R1BQKBNR b KQkq - 0 6	h7h6	-29	22
r1bqk2r/ppp2ppp/1bnp1n2/4p3/PPB1P3/2PP1N2/5PPP/RNBQK2R b KQkq - 0 7	a7a5	-6	22
rnbqkb1r/1p3ppp/p3pn2/2p5/2BP4/2N1PN2/PP3PPP/R1BQ1RK1 b kq - 1 7	b7b5	-18	22
r1bqk2r/pp1p1ppp/1bn1pn2/8/4P3/PNN5/1PP2PPP/R1BQKB1R w KQkq - 5 8	d1f3	25	22
r1bqkb1r/pp2pppp/2np1n2/8/4P3/1NN5/PPP2PPP/R1BQKB1R b KQkq - 4 6	g7g6	-20	22
rnbqk2r/ppp1bppp/4pn2/3p4/2P5/1P3NP1/P2PPPBP/RNBQK2R b KQkq - 0 5	d5d4	3	22
1rbqk1nr/pp2ppbp/2np2p1/2p5/P3P3/2NP2P1/1PP1NPBP/R1BQK2R b KQk - 0 7	g8f6	0	22
rn1qkb1r/pp2pppp/2p2nb1/8/3P4/4B1N1/PPP2PPP/R2QKBNR w KQkq - 5 7	g1f3	20	22
r1bqk2r/1pp2ppp/1bnp1n2/p3p3/PPB1P3/2PP1N2/5PPP/RNBQK2R w KQkq - 0 8	b4b5	30	22
rn1qkb1r/pp2pppp/2p2nb1/8/3P3P/6N1/PPP2PP1/R1BQKBNR w KQkq - 1 7	h4h5	228	22
rnbqkb1r/5ppp/p3pn2/1pp5/2BP4/2N1PN2/PP3PPP/R1BQ1RK1 w kq - 0 8	c4e2	26	22
rnbq1rk1/ppp1bppp/4pn2/3p4/2P5/1P3NP1/P2PPPBP/RNBQK2R w KQ - 1 6	d2d4	12	22
1rbqk2r/pp2ppbp/2np1np1/2p5/P3P3/2NP2P1/1PP1NPBP/R1BQK2R w KQk - 1 8	e1g1	-4	22
r1bqk2r/ppp2ppp/2p5/4p3/4n3/P1P2N2/2PPQPPP/R1B1K2R b KQkq - 1 8	e4g5	0	22
r2qk2r/ppp2ppp/2p5/4pb2/4n3/P1P2N2/2PPQPPP/R1B1K2R w KQkq - 2 9	g2g4	11	22
r1bqkb1r/pp3ppp/2np1n2/4p3/4P3/1NN5/PPP2PPP/R1BQKB1R w KQkq - 0 7	c1g5	18	22
rn1qkb1r/pp2nppp/2p1p3/3pP3/2PPb3/5N1P/PP1N1PP1/R1BQKB1R b KQkq - 2 7	e7f5	-14	22
rnbqkb1r/pp1n1ppp/4p3/2ppP3/3P1P2/8/PPP1N1PP/R1BQKBNR b KQkq - 1 6	b8c6	-5	22
r1bqk2r/pp1pppbp/2n2np1/2p5/2P5/2N2NPP/PP1PPPB1/R1BQK2R b KQkq - 0 6	d7d5	34	22
r1bqkb1r/pp3ppp/2n1pn2/2pp4/3P4/2P1P1B1/PP1N1PPP/R2QKBNR b KQkq - 1 6	f8e7	5	22
r1bqkb1r/pp3ppp/2n1pn2/2pp4/3P1B2/2P1P3/PP1NBPPP/R2QK1NR b KQkq - 1 6	f8d6	-1	22
rnbqr1k1/ppp2pbp/3p1np1/8/2PNP3/2N1B3/PPQ1BPPP/R3K2R b KQ - 2 9	b8c6	-33	22
rnbqk2r/ppp2ppp/3b4/3p4/3Pn3/2P2N1P/PP2BPP1/RNBQK2R b KQkq - 2 8	e8g8	3	22
r1bq1rk1/2p1bppp/p1np1n2/1p2p3/4P3/PB1P1N2/1PP2PPP/RNBQR1K1 b - - 0 9	c6a5	-11	22
rn1qk2r/pbppbppp/1p2pn2/8/2PP1B2/5NP1/PP2PPBP/RN1QK2R b KQkq - 4 6	d7d6	-12	22
r2qk2r/2pbbppp/p1np1n2/1p2p3/P3P3/1BP2N2/1P1P1PPP/RNBQR1K1 b kq - 0 9	e8g8	-22	22
1rbqk2r/pp2ppbp/2np1np1/2p5/4P3/2NP1NP1/PPP2PBP/R1BQ1RK1 w k - 4 8	c3d5	-12	22
r1bqk2r/pp1n1ppp/2pbpn2/3p4/P1PP4/2N1PN2/1P2BPPP/R1BQK2R b KQkq - 2 7	e8g8	-10	22
rn2kb1r/pp2nppp/2p1p3/q2pP3/2PPb3/5N1P/PP1N1PP1/R1BQKB1R w KQkq - 3 8	d1b3	12	22
rnbqkb1r/1p3ppp/p2p1n2/4p3/4P3/1NN1B3/PPP2PPP/R2QKB1R b KQkq - 1 7	f8e7	-35	22
