rnbq1rk1/p1p1bppp/1p2pn2/3p4/2PP4/1P3NP1/P3PPBP/RNBQ1RK1 b - - 1 7	b8d7	c8b7
r1bq1rk1/pp1nppbp/2pp1np1/8/3PPB2/2N2N2/PPP1BPPP/R2Q1RK1 w - - 0 8	a2a4	e4e5
rnb1k2r/pp2bppp/3qp3/3n4/2BP4/5N2/PP3PPP/RNBQK2R w KQkq - 0 9	b1c3	e1h1
r1bqkb1r/5ppp/p1np4/1p1Pp3/8/N3B3/PPP2PPP/R2QKB1R b KQkq - 0 10	c6d4	c6e7
r2qkbnr/pp3ppp/2n1p3/2ppP3/3P2b1/2P2N2/PP2BPPP/RNBQ1RK1 w kq - 4 8	h2h3	b1d2
r1bqk2r/pp2bppp/2n1pn2/2pp4/3P1B2/2P1PN1P/PP1N1PP1/R2QKB1R b KQkq - 2 7	e7d6	e8h8
r1bq1rk1/1pp1nppp/1b1p1n2/pP2p3/P1B1P3/2PP1N2/5PPP/RNBQR1K1 b - - 4 10	c7c6	e7g6
r1bq1rk1/pppn1pbp/3p1np1/4p3/P2PP3/2N2N2/1PP1BPPP/R1BQ1RK1 w - - 0 8	d4e5	a4a5
r1bqk2r/1p2bppp/p1np1n2/4p3/2N1P3/2N1B3/PPP2PPP/R2QKB1R b KQkq - 3 9	c8e6	e8h8
r1bqk2r/1p2bppp/p1nppn2/8/2P1P3/N1N5/PP2BPPP/R1BQK2R b KQkq - 1 9	b7b6	e8h8
r2qkb1r/1p3ppp/p1npbn2/4p3/4P3/1NN1B3/PPP1BPPP/R2Q1RK1 b kq - 5 9	f8e7	a8c8
r1bq1rk1/ppp1bppp/2np1n2/4p3/2B1P3/P1NP1N2/1PP2PPP/R1BQ1RK1 b - - 2 7	c8e6	c8g4
rn1qk2r/pp3ppp/2pbpnb1/8/3P1N2/2P3N1/PP3PPP/R1BQKB1R w KQkq - 1 9	h2h4	f4g6
r1bq1rk1/pp3ppp/2n1pn2/8/1bPp4/1P1P1NP1/P3RPBP/RNBQ2K1 b - - 3 11	b4d6	a7a5
rnbq1rk1/ppp3pp/3bpn2/3p1p2/2PP4/5NP1/PP2PPBP/RNBQ1RK1 w - - 1 7	f3e5	d1c2
r2qkbnr/pp1n1pp1/2p1p2p/3pPb2/3P4/2P2N2/PP2BPPP/RNBQ1RK1 b kq - 1 7	g8e7	a7a6
rn1qk2r/pb2bppp/1pp1pn2/3p4/2PP4/2N3P1/PP1NPPBP/R1BQ1RK1 b kq - 1 8	b7a6	e8h8
rn1q1rk1/pbp2ppp/1p3n2/3p4/1b1P4/2NBPN2/PP3PPP/R1BQ1RK1 w - - 2 9	f3e5	a2a3
r1bqk2r/pp2bppp/2nppn2/8/3NP3/P1N1B3/1PP2PPP/R2QKB1R w KQkq - 2 8	f2f3	d1e2
rnbqr1k1/pp3pbp/5np1/3p4/2PN4/2N1BP2/PP1QB1PP/R3K2R w KQ - 0 12	e1h1	e1a1
r2qkbnr/pp1nppp1/2p3bp/8/2BP3P/5NN1/PPP2PP1/R1BQK2R b KQkq - 3 8	g8f6	e7e6
1rbq1rk1/pp2ppbp/2np1np1/2p5/P3P3/2NP2P1/1PP1NPBP/R1BQ1RK1 w - - 5 9	h2h3	c3d5
rn1qk2r/pp1bppbp/3p1np1/8/3NP3/2N1B3/PPP1BPPP/R2QK2R w KQkq - 4 8	f2f3	d1d2
rn2k2r/pp2ppbp/6p1/q7/3NP1b1/1QP1B3/P4PPP/2R1KB1R b Kkq - 0 11	g4c8	e8h8
2rqk2r/pp1bnppp/2n1p3/2ppP3/P2P4/2P2N2/2P1BPPP/R1BQ1RK1 b k - 6 10	b7b6	c5c4
r1bqk1nr/pp3pbp/2np2p1/2p1p3/4P3/2NP1NP1/PPP2PBP/R1BQK2R w KQkq - 0 7	a2a4	e1h1
1rbq1rk1/pp2ppbp/2np1np1/2p5/4P3/2NP1NP1/PPP2PBP/R1BQR1K1 w - - 6 9	e4e5	a2a4
r2q1rk1/2pbbppp/p2p1n2/np2p3/4P3/1BNP1N1P/PPP2PP1/R1BQR1K1 w - - 1 11	c1g5	c1d2
r1bqk2r/pp3pbp/2nppnp1/2p5/4P2P/2NP2P1/PPP1NPB1/R1BQK2R w KQkq - 0 8	c1g5	a2a4
r1bqk2r/1p2bppp/p1np1n2/4p3/4P3/1NN1B3/PPP1BPPP/R2QK2R w KQkq - 2 9	c3d5	f2f3
r1bqk2r/pp2bppp/2n1pn2/2p5/2Pp4/1P1P1NP1/PB2PPBP/RN1Q1RK1 b kq - 2 8	e6e5	e8h8
1rbq1rk1/p3npbp/2npp1p1/1pp5/4PP2/2NPBNP1/PPPQ2BP/R4RK1 w - - 2 11	a1b1	a2a3
rnbqkb1r/5ppp/p3pn2/1p6/3P4/1BN2N2/PP3PPP/R1BQ1RK1 b kq - 0 9	f8b4	b8d7
r1bq1rk1/pp2bppp/3p1n2/n1p1p3/P3P3/2NP1N2/BPP2PPP/R1BQ1RK1 w - - 0 9	c1g5	h2h3
r1bqk2r/pp2ppbp/2n2np1/3p4/3P1B2/2PB1N2/PP3PPP/RN1QK2R w KQkq - 2 8	b1d2	e1h1
r1bq1rk1/pp1nbppp/2n1p3/2ppP3/3P1P2/2P2N2/PP2N1PP/R1BQKB1R w KQ - 1 9	a2a3	c1e3
rnb2rk1/pp2bppp/3qp3/3n4/2BP4/5N2/PP3PPP/RNBQ1RK1 w - - 2 10	b1c3	f1e1
1rb1kb1r/5ppp/p1np1q2/1p2p3/4P3/N3B3/PPP2PPP/R2QKB1R w KQk - 0 11	a3b1	c2c4
r2qk2r/pb1nbppp/1pp1pn2/3p4/2PP4/1PNBPN2/PBQ2PPP/R3K2R b KQkq - 3 9	a8c8	e8h8
r1bq1rk1/p2n1ppp/1ppbpn2/3p4/2PP4/1PN1PN2/P1Q1BPPP/R1B1K2R w KQ - 0 9	c1b2	e1h1
r2qkbnr/pp1n1ppp/4p3/2ppPb2/3P4/2P2N2/PP2BPPP/RNBQ1RK1 b kq - 1 7	g8e7	a7a6
r2qkbnr/pp1n1pp1/2p1p2p/8/3P1B1P/3Q1NN1/PPP2PP1/R3K2R b KQkq - 0 10	g8f6	d8a5
rn1qkb1r/pp2pppb/2p2n1p/4N3/3P3P/6N1/PPP2PP1/R1BQKB1R w KQkq - 4 9	f1c4	f1d3
rn1q1rk1/1bppbppp/1p2p3/p7/2PPnB2/2N2NP1/PP2PPBP/R2Q1RK1 w - - 2 9	c3b5	d1d3
rnbq1rk1/pp3ppp/5n2/2bp4/8/5N2/PPPNBPPP/R1BQ1RK1 w - - 0 9	c2c4	a2a3
r1b2rk1/ppq2ppp/2n1pn2/2p5/3P4/P1PBP3/4NPPP/R1BQK2R w KQ - 4 11	e2g3	e1h1
r1bq1rk1/pp2bppp/2n1pn2/8/2BP4/2N2N2/PP2QPPP/R1BR2K1 b - - 4 10	c6a5	a7a6
r2q1rk1/1p2bppp/p1npbn2/4p3/4P1P1/1NN1BQ1P/PPP2P2/2KR1B1R b - - 0 11	a8c8	f6e8
r1bq1rk1/1pp1nppp/1b1p1n2/pP2p3/P1B1P3/2PP1N2/3N1PPP/R1BQK2R w KQ - 1 10	c4b3	e1h1
rnbq1rk1/pp2bppp/2p1pn2/3p4/2P5/3P1NP1/PP2PPBP/RNBQ1RK1 w - - 0 7	b2b3	c4d5
rnbq1rk1/pp2ppbp/2pp1np1/8/3PPB2/2N2N2/PPP1BPPP/R2Q1RK1 b - - 1 7	d8b6	c8g4
r2qkb1r/pp1nnpp1/2p1p2p/3pPb2/3P4/2P2N2/PP2BPPP/RNBQ1RK1 w kq - 2 8	b1d2	a2a4
r2q1rk1/pp1bppbp/2np1np1/8/3NP3/2N1B3/PPP1BPPP/R2Q1RK1 w - - 3 10	a2a4	d1d2
r1b1k2r/pp3ppp/1qn1p3/2npP3/5P2/2N2N2/PPPQ2PP/2KR1B1R b kq - 3 11	c8d7	e8h8
r1bqk2r/1p1n1ppp/p1pbpn2/3p4/2PP4/1PN1PN2/PBQ2PPP/R3KB1R b KQkq - 2 8	e6e5	e8h8
r1bq1rk1/pp2ppbp/2np1np1/2p5/2P5/2N1PNP1/PP1P1PBP/R1BQ1RK1 w - - 1 8	b2b3	d2d4
r1bqk2r/1pp1npp1/1b1p1n1p/pP2p3/P1B1P3/2PP1N2/5PPP/RNBQ1RK1 w kq - 0 10	f1e1	b1d2
r1bq1rk1/1pp1nppp/1b1p1n2/pP2p3/P1B1P3/2PP1N1P/5PP1/RNBQ1RK1 b - - 0 10	e7g6	c7c6
r2q1rk1/pb1nbppp/1pp1pn2/3p4/2PP4/1P3NP1/PB1NPPBP/R2Q1RK1 w - - 4 10	e2e3	f3e5
1r1qkb1r/5ppp/pNnpbn2/1p2p3/4P3/2N1B3/PPP2PPP/R2QKB1R w KQk - 2 11	a2a4	b6d5
r2q1rk1/2pbbppp/p2p1n2/np2p3/4P3/1BNP1N1P/PPP2PP1/R1BQR1K1 w - - 3 11	c1g5	c1d2
r1bqk2r/1pp2ppp/p1np1n2/2b1p3/2B1P3/2PP1N2/PP3PPP/R1BQKN1R b KQkq - 1 7	c5a7	e8h8
r1bq1rk1/1p1nbppp/2p1pn2/p7/2NP4/2N3P1/PP2PPBP/R1BQ1RK1 w - - 1 10	a1b1	a2a4
r1bq1rk1/1pp2pbp/3p1np1/p1nPp3/2P1P3/2N1BN1P/PP2BPP1/R2QK2R w KQ - 3 12	d1c2	f3d2
r1bq1rk1/pppn1pbp/3p2p1/3Pp3/2P1P1n1/2N1BN2/PP2BPPP/R2QK2R w KQ - 7 11	e3c1	e3g5
r1bqk2r/ppp2pp1/1bnp1n1p/4p3/4P3/1BPP1N2/PP3PPP/RNBQ1RK1 w kq - 2 8	b1a3	b1d2
r2q1rk1/ppp2ppp/2npbn2/2b1p3/2B1P3/2PP1N2/PP1N1PPP/R1BQ1RK1 w - - 4 8	c4e6	b2b4
rnb1k2r/pp1nbppp/1q2p3/2ppP3/3P1P2/5N2/PPP1N1PP/R1BQKB1R w KQkq - 4 8	a2a3	g2g3
r2qkb1r/1p3ppp/p1npbn2/4p3/4P3/1NN1B3/PPP1BPPP/R2Q1RK1 b kq - 3 9	f8e7	a8c8
rnbqk2r/pp3ppp/4pn2/8/1bBP4/2N2N2/PP2QPPP/R1B1K2R b KQkq - 2 8	b8c6	e8h8
r1bq1rk1/pp2ppbp/2np1np1/8/3NP3/2N1B2P/PPP1BPP1/R2QK2R w KQ - 1 9	d1d2	e1h1
r2qk2r/1p1bbppp/p1nppn2/8/3NP3/2N1B3/PPP1BPPP/R2QK2R w KQkq - 0 10	e1h1	f2f4
r1bq1rk1/pp2bppp/2n2n2/2p5/2Pp4/NP1P1NP1/P4PBP/R1BQ1RK1 w - - 2 11	a3c2	f1e1
