r1bqkb1r/1p2pppp/p1np1n2/8/4P3/1NN5/PPPB1PPP/R2QKB1R w KQkq - 4 9	d2e3,f2f4,f1e2,c3d5,h2h4,d2f4,f1d3,d1f3,h2h3,f2f3,d1e2,a2a4,d2g5,g2g3,f1c4,a2a3
rn1q1rk1/pb2bppp/1p1ppn2/2p5/2PP4/PP3NP1/4PPBP/RNBQ1RK1 w - - 0 9	d4d5,c1b2,b1c3,e2e3,b1d2,a1a2,f1e1,d4c5,h2h4,h2h3,d1c2,d1d3,a3a4,c1e3,d1d2,g1h1
r2qk2r/2p1bppp/p2p1n2/1p2p3/3nP3/1BN2Q1P/PPPP1PP1/R1B1R1K1 w kq - 1 11	f3d1,f3g3,f3e3,f3d3,b3f7,e1e3,f3f5,f3f6,a2a4,c3d5,b3d5,d2d3,f3e2,g1f1,a2a3,e1d1
r1bq1rk1/pppp1ppp/2n2n2/1Bb5/3NP3/2P5/PP3PPP/RNBQR1K1 b - - 4 8	f8e8,a7a6,c6e5,d7d6,d7d5,c6d4,g8h8,c5b6,d8e7,h7h6,f6e8,a8b8,c5e7,a7a5,c6e7,g7g6
rnbqk2r/pp2bppp/4pn2/8/2Pp4/5NP1/PPQP1PBP/RNB1K2R w KQkq - 0 8	d2d3,b2b3,e1g1,a2a3,c2d1,f3e5,h2h3,c2a4,c2b3,b2b4,a2a4,b1a3,c4c5,g2f1,e1f1,h2h4
rnbqkb1r/pp3ppp/2p5/1B1p4/3Pn3/5N2/PPP2PPP/RNBQK2R w KQkq - 0 7	b5d3,b5e2,b5f1,b5a4,b5c4,a2a4,f3d2,d1e2,d1d3,f3e5,b1d2,e1g1,b5c6,b1c3,c1f4,c1d2
rnbqkb1r/pp3ppp/2p5/3p4/3Pn3/3B1N2/PPP2PPP/RNBQK2R b KQkq - 1 7	f8b4,f8d6,c8f5,f8e7,c8g4,b8d7,c8e6,e4f6,e4d6,b8a6,h7h6,f7f5,a7a5,a7a6,g7g6,d8a5
rn1q1rk1/pbp1bppp/1p1ppn2/8/2PP4/PP3NP1/4PPBP/RNBQ1RK1 b - - 0 8	c7c5,b8d7,d6d5,f6e4,f8e8,a7a6,a7a5,b8a6,h7h6,d8e8,d8c8,c7c6,g8h8,g7g6,h7h5,d8d7
r1bq1rk1/ppp2pbp/n2p1np1/4p3/2PPP3/2NQ1N2/PP2BPPP/R1B1K2R w KQ - 2 8	c1e3,d4d5,d3d1,d4e5,c1g5,d3d2,d3c2,d3e3,d3b1,e1g1,h2h3,h2h4,a1b1,c1d2,g2g3,a2a3
r1bq1rk1/ppp2pbp/n2p1np1/4P3/2P1P3/2NQ1N2/PP2BPPP/R1B1K2R b KQ - 0 8	d6e5,a6b4,a6c5,f6g4,f6d7,f6h5,f6e8,f6e4,c8d7,d6d5,c7c6,c8g4,f8e8,b7b6,d8e7,g7h8
r1bqk2r/pp3ppp/2nbpn2/2pp4/3P1B2/P1P1P3/1P1N1PPP/R2QKBNR w KQkq - 1 7	f4g3,d4c5,f4d6,d2b3,f4g5,g1e2,g2g3,d2f3,g1h3,g1f3,d1f3,f1b5,d1a4,f1d3,f1e2,h2h4
1rbqkb1r/5ppp/p1np1n2/1p2p1B1/4P3/N1N5/PPP2PPP/R2QKB1R w KQk - 0 10	c3d5,a3b1,g5f6,a3b5,c3b1,c3e2,b2b4,f1b5,c3b5,f1c4,f1e2,f1d3,d1d3,a1b1,h2h3,b2b3
r1bqkb1r/1p3ppp/p1np1n2/4p3/4P3/N1N2P2/PPP3PP/R1BQKB1R b KQkq - 1 8	c8e6,b7b5,d6d5,a8b8,c6d4,c6b4,f8e7,g7g6,h7h5,h7h6,d8c7,c8d7,b7b6,c6a5,c6a7,h8g8
rnbq1rk1/pp2bppp/2p1pn2/3p4/2PP4/5NP1/PP2PPBP/RNBQ1RK1 w - - 0 7	d1c2,b2b3,b1d2,b1c3,d1b3,d1d3,d1d2,a2a4,c1g5,c1f4,f3d2,h2h4,f1e1,b1a3,f3e5,c1d2
r1bq1rk1/pp1n1ppp/2pb1n2/3pp3/2PP4/1PN1PN2/P3BPPP/R1BQ1RK1 w - - 0 9	d4e5,f3d2,c1b2,f3e1,f3e5,c4d5,d1c2,a2a4,a1b1,f3h4,f1e1,d1e1,h2h3,g1h1,c1d2,c4c5
1rbqkb1r/1p3ppp/p1np1n2/4p1B1/4P3/N1N5/PPP2PPP/R2QKB1R b KQk - 3 9	b7b5,f8e7,d6d5,h7h6,c8e6,h7h5,c6d4,c8d7,c6a5,c6b4,b7b6,c6a7,b8a8,h8g8,g7g6,c6e7
r1bqk1nr/pp2ppbp/2np2p1/2p5/4P3/2NPB1P1/PPP2PBP/R2QK1NR b KQkq - 1 6	a8b8,g8f6,e7e5,c6d4,a7a6,c8d7,b7b5,e7e6,h7h6,h7h5,d8b6,d8d7,b7b6,c8e6,d8c7,a7a5
r1bqk2r/1p2ppbp/p1np1np1/2p5/P3P3/2NPB1P1/1PP2PBP/R2QK1NR w KQkq - 0 8	h2h3,g1f3,g1e2,d1c1,e3f4,c3d5,e3c1,e3g5,e3d2,a1b1,d1b1,h2h4,g2f3,d1d2,d1e2,c3b1
